locatie,naam,Latitude,Longitude
Ameland,Ameland Airport Ballum,53.45277777777778,5.683888888888889
Haarlemmermeer,Luchthaven Schiphol,52.30833333333333,4.760833333333333
Apeldoorn,Teuge International Airport,52.24138888888889,6.046666666666667
Beek,Maastricht Aachen Airport,50.9125,5.769444444444445
Hoeven,Breda International Airport,51.55472222222222,4.5525
Budel,Kempen Airport,51.256388888888885,5.601944444444444
Den Helder,Vliegveld de Kooy,52.9225,4.782777777777778
Drachten,Vliegveld Drachten,53.11805555555556,6.128333333333333
Eindhoven,Eindhoven Airport,51.45055555555556,5.3741666666666665
Enschede,Twente Airport,52.274166666666666,6.886666666666666
Groningen,Groningen Airport Eelde,53.120555555555555,6.578055555555555
Hilversum,Vliegveld Hilversum,52.192499999999995,5.147222222222223
Hoogeveen,Vliegveld Hoogeveen,52.73083333333334,6.515833333333333
Lelystad,Lelystad Airport,52.45527777777778,5.523055555555556
Middelburg,Vliegveld Midden-Zeeland,51.51222222222222,3.729166666666667
Middenmeer,Vliegveld Middenmeer,52.81666666666667,5.027777777777778
Numansdorp,Vliegveld Numansdorp,51.753055555555555,4.455277777777778
Rotterdam,Rotterdam The Hague Airport,51.9525,4.434444444444445
Stadskanaal,Vliegveld Stadskanaal,52.99583333333334,7.020833333333333
Texel,Texel International Airport,53.11527777777778,4.833611111111111
Venlo,TrafficPort Venlo,51.006388888888885,6.0008333333333335
Winschoten,Vliegveld Oostwold,53.20805555555556,7.041111111111111
Concordia,F.D. Roosevelt Airport,17.49638888888889,62.97916666666667
Kralendijk,Bonaire International Airport,12.130833333333333,68.26833333333333
The Bottom,Juancho E. Yrausquin Airport,17.64527777777778,63.220555555555556
Ede,Vliegbasis Deelen,52.00083333333333,5.014444444444444
Gilze-Rijen,Vliegbasis Gilze-Rijen,51.00944444444445,4.0152777777777775
Leeuwarden,Vliegbasis Leeuwarden,53.00361111111111,5.0125
Uden,Vliegbasis Volkel,51.01083333333333,5.011388888888889
Venray,Vliegbasis De Peel,51.00861111111111,5.014166666666667
Woensdrecht,Vliegbasis Woensdrecht,51.0075,4.005833333333333
Arnhem,Vliegveld Terlet,52.05722222222222,5.924444444444445
Axel,"Zweefvliegveld Axel
",51.25555555555555,3.891388888888889
Biddinghuizen,"Zweefvliegveld Biddinghuizen
",52.42916666666667,5.674166666666667
Castricum,"Zweefvliegveld Castricum
",52.53666666666666,4.626666666666667
Haamstede,vliegveld Haamstede,51.70888888888889,3.7122222222222225
Lemelerveld,Vliegveld Salland,52.467777777777776,6.332777777777777
Malden,Zweefvliegveld Malden,51.78583333333333,5.880000000000001
Marknesse,"Zweefvliegveld De Voorst
",52.68472222222222,5.910555555555556
Nistelrode,Zweefvliegveld Nistelrode,51.68333333333333,5.549444444444444
Noordwijk,"Zweefvliegveld Langeveld
",52.297777777777775,4.5136111111111115
Schinveld,"Zweefvliegveld Schinveld
",50.981944444444444,6.0025
Slootdorp,"Zweefvliegveld Wieringermeer
",52.81861111111112,4.9286111111111115
Soesterberg,Zweefvliegveld Soesterberg,52.12722222222222,5.276111111111111
Valkenburg,Zweefvliegveld Valkenburg,52.16611111111111,4.418055555555556
Veendam,"Zweefvliegveld Veendam
",53.08444444444444,6.823611111111111
Venlo,Zweefvliegveld Venlo,51.363055555555555,6.216111111111111
Amsterdam,Amsterdam Heliport,52.00666666666667,4.013333333333334
Rotterdam,Heliport Maasvlakte,51.01611111111111,4.000277777777778
Vlieland,Vlieland Heliport,53.29694444444444,5.085555555555556
